Paper ID,Title,Authors,Year,Filename
1407.7906,How Auto-Encoders Could Provide Credit Assignment in Deep Networks via Target Propagation,Yoshua Bengio,2014,1407.7906_How_Auto-Encoders_Could_Provide_Credit_Assignment_in_Deep_Networks_via_Target_Propagation.pdf
1408.5882,Convolutional Neural Networks for Sentence Classification,Yoon Kim,2014,1408.5882_Convolutional_Neural_Networks_for_Sentence_Classification.pdf
1409.3215,Sequence to Sequence Learning with Neural Networks,"Ilya Sutskever, Oriol Vinyals, Quoc V. Le",2014,1409.3215_Sequence_to_Sequence_Learning_with_Neural_Networks.pdf
1409.7770,Entanglement-Based Machine Learning on a Quantum Computer,"X. -D. Cai, D. Wu, Z. -E. Su, M. -C. Chen, X. -L. Wang, L. Li, N. -L. Liu, Chao-Yang Lu, Jian-Wei Pan",2014,1409.7770_Entanglement-Based_Machine_Learning_on_a_Quantum_Computer.pdf
1412.0233,The Loss Surfaces of Multilayer Networks,"Anna Choromanska, Mikael Henaff, Michael Mathieu, Gérard Ben Arous, Yann LeCun",2014,1412.0233_The_Loss_Surfaces_of_Multilayer_Networks.pdf
1412.5474,Flattened Convolutional Neural Networks for Feedforward Acceleration,"Jonghoon Jin, Aysegul Dundar, Eugenio Culurciello",2014,1412.5474_Flattened_Convolutional_Neural_Networks_for_Feedforward_Acceleration.pdf
1412.6544,Qualitatively characterizing neural network optimization problems,"Ian J. Goodfellow, Oriol Vinyals, Andrew M. Saxe",2014,1412.6544_Qualitatively_characterizing_neural_network_optimization_problems.pdf
1412.6558,Random Walk Initialization for Training Very Deep Feedforward Networks,"David Sussillo, L. F. Abbott",2014,1412.6558_Random_Walk_Initialization_for_Training_Very_Deep_Feedforward_Networks.pdf
1412.7091,Efficient Exact Gradient Update for training Deep Networks with Very Large Sparse Targets,"Pascal Vincent, Alexandre de Brébisson, Xavier Bouthillier",2014,1412.7091_Efficient_Exact_Gradient_Update_for_training_Deep_Networks_with_Very_Large_Sparse_Targets.pdf
1412.7419,ADASECANT: Robust Adaptive Secant Method for Stochastic Gradient,"Caglar Gulcehre, Marcin Moczulski, Yoshua Bengio",2014,1412.7419_ADASECANT_Robust_Adaptive_Secant_Method_for_Stochastic_Gradient.pdf
